vehicle_id,part_id,fits_desc,
1,1,Fits 2019 Cadillac Escalade ESV 6.2L V8 GAS,
1,2,Fits 2019 Cadillac Escalade ESV 6.2L V8 GAS,
2,3,Fits 2021 Audi A6 VC MILD HYBRID-EV-GAS,
2,4,Fits 2021 Audi A6 VC MILD HYBRID-EV-GAS,
3,5,Fits 2022 BMW X4 3.L L6 HYBRID-EV-GAS,
3,6,Fits 2022 BMW X4 3.L L6 HYBRID-EV-GAS,
4,7,Fits 2015 FORD MUSTANG GT 5.0 L GAS,
4,8,Fits 2015 FORD MUSTANG GT 5.0 L GAS,
4,9,Fits 2015 FORD MUSTANG GT 5.0 L GAS,
4,10,Fits 2015 FORD MUSTANG GT 5.0 L GAS,
5,9,Fits 2015 FORD MUSTANG GT 5.0 L GAS,
5,10,Fits 2015 FORD MUSTANG GT 5.0 L GAS,
